308.784, 129.496, 4.326,  4.379 False
308.639, 129.496, 4.358,  4.412 False
308.492, 129.496, 4.390,  4.445 False
308.345, 129.496, 4.421,  4.478 False
308.197, 129.496, 4.453,  4.511 False
308.048, 129.496, 4.484,  4.544 False
307.898, 129.496, 4.515,  4.577 False
307.746, 129.496, 4.546,  4.610 False
307.594, 129.496, 4.577,  4.643 False
307.441, 129.496, 4.608,  4.676 False
307.287, 129.496, 4.639,  4.709 False
307.131, 129.498, 4.668,  4.742 False
306.975, 129.500, 4.699,  4.775 False
306.817, 129.503, 4.730,  4.808 False
306.659, 129.507, 4.762,  4.841 False
306.499, 129.510, 4.794,  4.874 False
306.339, 129.514, 4.825,  4.907 False
306.177, 129.518, 4.856,  4.940 False
306.015, 129.522, 4.888,  4.973 False
305.851, 129.527, 4.918,  5.006 False
305.686, 129.532, 4.949,  5.039 False
305.521, 129.537, 4.980,  5.072 False
305.354, 129.542, 5.011,  5.105 False
305.186, 129.549, 5.042,  5.138 False
305.018, 129.555, 5.073,  5.171 False
304.848, 129.560, 5.104,  5.204 False
304.677, 129.567, 5.131,  5.237 False
304.506, 129.573, 5.150,  5.270 False
304.334, 129.580, 5.149,  5.303 False
304.163, 129.587, 5.142,  5.336 False
303.992, 129.593, 5.143,  5.369 False
303.821, 129.600, 5.155,  5.402 False
303.649, 129.606, 5.176,  5.435 False
303.476, 129.613, 5.204,  5.468 False
303.302, 129.620, 5.236,  5.501 False
303.126, 129.628, 5.273,  5.534 False
302.949, 129.636, 5.313,  5.567 False
302.771, 129.645, 5.354,  5.600 False
302.592, 129.654, 5.396,  5.633 False
302.411, 129.662, 5.439,  5.666 False
302.229, 129.670, 5.480,  5.699 False
302.045, 129.678, 5.521,  5.732 False
301.860, 129.687, 5.561,  5.765 False
301.674, 129.695, 5.601,  5.798 False
301.486, 129.704, 5.640,  5.831 False
301.298, 129.713, 5.678,  5.864 False
301.108, 129.722, 5.716,  5.897 False
300.916, 129.732, 5.753,  5.930 False
300.724, 129.741, 5.790,  5.963 False
300.530, 129.751, 5.826,  5.996 False
300.335, 129.760, 5.861,  6.029 False
300.139, 129.770, 5.896,  6.062 False
299.942, 129.780, 5.931,  6.095 False
299.744, 129.790, 5.966,  6.128 False
299.544, 129.800, 5.999,  6.161 False
299.344, 129.810, 6.034,  6.194 False
299.142, 129.820, 6.067,  6.227 False
298.939, 129.830, 6.101,  6.260 False
298.735, 129.842, 6.133,  6.293 False
298.530, 129.853, 6.167,  6.326 False
298.324, 129.864, 6.199,  6.359 False
298.117, 129.875, 6.232,  6.392 False
297.909, 129.886, 6.264,  6.425 False
297.700, 129.897, 6.296,  6.458 False
297.489, 129.909, 6.327,  6.491 False
297.278, 129.920, 6.359,  6.524 False
297.066, 129.932, 6.391,  6.557 False
296.852, 129.943, 6.423,  6.590 False
296.638, 129.955, 6.454,  6.623 False
296.422, 129.967, 6.486,  6.656 False
296.205, 129.979, 6.518,  6.689 False
295.988, 129.991, 6.549,  6.722 False
295.769, 130.003, 6.580,  6.755 False
295.549, 130.015, 6.612,  6.788 False
295.328, 130.027, 6.642,  6.821 False
295.106, 130.040, 6.674,  6.854 False
294.884, 130.053, 6.704,  6.887 False
294.660, 130.068, 6.735,  6.920 False
294.435, 130.082, 6.766,  6.953 False
294.209, 130.097, 6.798,  6.986 False
293.982, 130.112, 6.828,  7.019 False
293.755, 130.128, 6.859,  7.052 False
293.526, 130.143, 6.889,  7.085 False
293.296, 130.159, 6.919,  7.118 False
293.065, 130.174, 6.948,  7.151 False
292.833, 130.190, 6.978,  7.184 False
292.600, 130.206, 7.007,  7.217 False
292.367, 130.222, 7.037,  7.250 False
292.132, 130.237, 7.066,  7.283 False
291.896, 130.253, 7.096,  7.316 False
291.659, 130.269, 7.125,  7.349 False
291.422, 130.285, 7.156,  7.382 False
291.183, 130.300, 7.185,  7.415 False
290.943, 130.316, 7.215,  7.448 False
290.703, 130.332, 7.244,  7.481 False
290.461, 130.348, 7.274,  7.514 False
290.218, 130.364, 7.303,  7.547 False
289.975, 130.379, 7.333,  7.580 False
289.730, 130.395, 7.362,  7.613 False
289.484, 130.411, 7.392,  7.646 False
289.238, 130.427, 7.421,  7.679 False
288.990, 130.443, 7.451,  7.712 False
288.741, 130.459, 7.480,  7.745 False
288.492, 130.475, 7.510,  7.778 False
288.241, 130.491, 7.539,  7.811 False
