-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.033,  0.148
-183.800, 80.198, 0.031,  0.181
-183.800, 80.196, 0.031,  0.214
-183.800, 80.195, 0.034,  0.247
-183.800, 80.192, 0.109,  0.280
-183.799, 80.186, 0.192,  0.313
-183.796, 80.177, 0.285,  0.346
-183.792, 80.165, 0.339,  0.379
-183.787, 80.152, 0.401,  0.412
-183.780, 80.137, 0.471,  0.445
-183.771, 80.120, 0.543,  0.478
-183.760, 80.100, 0.614,  0.511
-183.745, 80.078, 0.657,  0.544
-183.729, 80.056, 0.716,  0.577
-183.710, 80.031, 0.798,  0.610
-183.690, 80.004, 0.852,  0.643
-183.668, 79.977, 0.882,  0.676
-183.644, 79.949, 0.928,  0.709
-183.619, 79.920, 0.977,  0.742
-183.592, 79.891, 1.025,  0.775
-183.564, 79.860, 1.073,  0.808
-183.533, 79.828, 1.119,  0.841
-183.501, 79.795, 1.160,  0.874
-183.468, 79.763, 1.196,  0.907
-183.433, 79.730, 1.230,  0.940
-183.396, 79.697, 1.261,  0.973
-183.358, 79.664, 1.290,  1.006
-183.318, 79.631, 1.316,  1.039
-183.277, 79.598, 1.341,  1.072
-183.235, 79.566, 1.363,  1.105
-183.191, 79.534, 1.385,  1.138
-183.146, 79.503, 1.408,  1.171
-183.100, 79.472, 1.430,  1.204
-183.053, 79.441, 1.450,  1.237
-183.004, 79.412, 1.470,  1.270
-182.955, 79.382, 1.488,  1.303
-182.904, 79.354, 1.505,  1.336
-182.852, 79.326, 1.520,  1.369
-182.800, 79.300, 1.533,  1.402
-182.746, 79.274, 1.545,  1.435
-182.692, 79.249, 1.556,  1.468
-182.637, 79.225, 1.566,  1.501
-182.581, 79.203, 1.575,  1.534
-182.524, 79.181, 1.582,  1.567
-182.467, 79.161, 1.589,  1.600
-182.409, 79.142, 1.595,  1.633
-182.351, 79.124, 1.600,  1.666
-182.292, 79.107, 1.604,  1.699
-182.232, 79.092, 1.608,  1.732
